"database_id","ingredient_concept_id","ingredient","variable","n_records","n_records_not_missing_value","n_records_missing_value","proportion_records_missing_value","result_obscured"
"CPRD GOLD",1716903,"moxifloxacin","n_missing_drug_exposure_end_date",39,39,0,0,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_verbatim_end_date",39,0,39,1,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_drug_type_concept_id",39,39,0,0,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_stop_reason",39,0,39,1,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_refills",39,39,0,0,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_quantity",39,39,0,0,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_days_supply",39,39,0,0,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_sig",39,39,0,0,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_route_concept_id",39,39,0,0,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_lot_number",39,0,39,1,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_provider_id",39,39,0,0,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_visit_occurrence_id",39,39,0,0,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_visit_detail_id",39,39,0,0,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_drug_source_value",39,39,0,0,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_drug_source_concept_id",39,39,0,0,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_route_source_value",39,0,39,1,FALSE
"CPRD GOLD",1716903,"moxifloxacin","n_missing_dose_unit_source_value",39,0,39,1,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_drug_exposure_start_date",1258,1258,0,0,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_drug_exposure_end_date",1258,1258,0,0,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_verbatim_end_date",1258,0,1258,1,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_drug_type_concept_id",1258,1258,0,0,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_stop_reason",1258,0,1258,1,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_refills",1258,1258,0,0,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_quantity",1258,1258,0,0,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_days_supply",1258,1258,0,0,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_sig",1258,1258,0,0,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_route_concept_id",1258,1258,0,0,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_lot_number",1258,0,1258,1,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_provider_id",1258,1211,47,0.0373608903020668,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_visit_occurrence_id",1258,1258,0,0,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_visit_detail_id",1258,1258,0,0,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_drug_source_value",1258,1258,0,0,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_drug_source_concept_id",1258,1258,0,0,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_route_source_value",1258,0,1258,1,FALSE
"CPRD GOLD",923081,"ofloxacin","n_missing_dose_unit_source_value",1258,0,1258,1,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_drug_exposure_start_date",381,381,0,0,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_drug_exposure_end_date",381,381,0,0,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_verbatim_end_date",381,0,381,1,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_drug_type_concept_id",381,381,0,0,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_stop_reason",381,0,381,1,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_refills",381,381,0,0,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_quantity",381,381,0,0,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_days_supply",381,381,0,0,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_sig",381,381,0,0,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_route_concept_id",381,381,0,0,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_lot_number",381,0,381,1,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_provider_id",381,376,5,0.0131233595800525,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_visit_occurrence_id",381,381,0,0,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_visit_detail_id",381,381,0,0,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_drug_source_value",381,381,0,0,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_drug_source_concept_id",381,381,0,0,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_route_source_value",381,0,381,1,FALSE
"CPRD GOLD",1742253,"levofloxacin","n_missing_dose_unit_source_value",381,0,381,1,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_drug_exposure_start_date",824,824,0,0,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_drug_exposure_end_date",824,824,0,0,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_verbatim_end_date",824,0,824,1,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_drug_type_concept_id",824,824,0,0,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_stop_reason",824,0,824,1,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_refills",824,824,0,0,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_quantity",824,824,0,0,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_days_supply",824,824,0,0,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_sig",824,824,0,0,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_route_concept_id",824,824,0,0,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_lot_number",824,0,824,1,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_provider_id",824,799,25,0.0303398058252427,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_visit_occurrence_id",824,824,0,0,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_visit_detail_id",824,824,0,0,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_drug_source_value",824,824,0,0,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_drug_source_concept_id",824,824,0,0,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_route_source_value",824,0,824,1,FALSE
"CPRD GOLD",1721543,"norfloxacin","n_missing_dose_unit_source_value",824,0,824,1,FALSE
