"database_id","drug_concept_id","drug","ingredient_concept_id","ingredient","n_records","n_non_negative_days","n_negative_days","proportion_negative_days","minimum_drug_exposure_days","q05_drug_exposure_days","q10_drug_exposure_days","q25_drug_exposure_days","median_drug_exposure_days","q75_drug_exposure_days","q90_drug_exposure_days","q95_drug_exposure_days","maximum_drug_exposure_days","result_obscured"
"CPRD GOLD",21042509,"Ciprofloxacin 250 MG Oral Tablet by Actavis",1797513,"ciprofloxacin",11,11,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21042519,"Ciprofloxacin 500 MG Oral Tablet by Actavis",1797513,"ciprofloxacin",12,12,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21052288,"Ciprofloxacin 500 MG Oral Tablet by Medreich",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21052290,"Ciprofloxacin 500 MG Oral Tablet [Ciproxin] by Waymade",1797513,"ciprofloxacin",80,80,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21062109,"Ciprofloxacin 250 MG Oral Tablet by Medreich",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21062121,"Ciprofloxacin 500 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin",28352,28352,0,0,1,5,5,5,5,7,10,14,210,FALSE
"CPRD GOLD",21072023,"Ciprofloxacin 250 MG Oral Tablet by Dr Reddy's",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21081705,"Ciprofloxacin 2 MG/ML Ophthalmic Solution",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21081710,"Ciprofloxacin 20 MG/ML Oral Suspension",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21081712,"Ciprofloxacin 500 MG Oral Tablet by Ivax",1797513,"ciprofloxacin",10,10,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21091460,"Ciprofloxacin 250 MG Oral Tablet by Wockhardt",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21091468,"Ciprofloxacin 750 MG Oral Tablet by Actavis",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21091473,"Ciprofloxacin 0.003 MG/MG Ophthalmic Ointment [Ciloxan] by Alcon",1797513,"ciprofloxacin",221,221,0,0,7,7,7,7,7,14,14,14,14,FALSE
"CPRD GOLD",21101355,"Ciprofloxacin 250 MG Oral Tablet by Mylan",1797513,"ciprofloxacin",44,44,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21101375,"Ciprofloxacin 500 MG Oral Tablet by Accord",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21101377,"Ciprofloxacin 500 MG Oral Tablet by Pliva",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21111201,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by DE",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21111205,"Ciprofloxacin 750 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin",693,693,0,0,3,5,5,5,7,10,14,28,30,FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin",1511,1511,0,0,5,5,5,5,5,5,5,7,28,FALSE
"CPRD GOLD",21117817,"50 ML Ciprofloxacin 2 MG/ML Injection",1797513,"ciprofloxacin",8,8,0,0,1,1,1,1,1,2.5,7,7,7,FALSE
"CPRD GOLD",21120863,"Ciprofloxacin 100 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin",1235,1235,0,0,3,3,3,3,3,3,5,6.29999999999995,56,FALSE
"CPRD GOLD",21120864,"Ciprofloxacin 250 MG Oral Tablet by APC",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",61,61,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21120876,"Ciprofloxacin 3 MG/ML Otic Solution",1797513,"ciprofloxacin",104,104,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21130650,"Ciprofloxacin 500 MG Oral Tablet by Mylan",1797513,"ciprofloxacin",36,36,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21130655,"Ciprofloxacin 500 MG Oral Tablet by Wockhardt",1797513,"ciprofloxacin",5,5,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21130656,"Ciprofloxacin 500 MG Oral Tablet by Almus",1797513,"ciprofloxacin",12,12,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21140601,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin",57672,57672,0,0,1,5,5,5,5,7,10,28,90,FALSE
"CPRD GOLD",21140611,"Ciprofloxacin 500 MG Oral Tablet by Kent",1797513,"ciprofloxacin",6,6,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21150442,"Ciprofloxacin 250 MG Oral Tablet by Ivax",1797513,"ciprofloxacin",38,38,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21150449,"Ciprofloxacin 750 MG Oral Tablet by A A H",1797513,"ciprofloxacin",5,5,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21160390,"Ciprofloxacin 500 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",6,6,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21160393,"Ciprofloxacin 500 MG Oral Tablet by Dr Reddy's",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21160394,"Ciprofloxacin 500 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",35752749,"Ciprofloxacin 250 MG Oral Tablet by Niche Generics",1797513,"ciprofloxacin",6,6,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",36063774,"ciprofloxacin 3 MG/ML / dexamethasone 1 MG/ML Otic Solution [Cilodex] by Consilient",1797513,"ciprofloxacin",1893,1893,0,0,5,7,7,7,7,7,7,7,28,FALSE
"CPRD GOLD",36808530,"0.25 ML Ciprofloxacin 3 MG/ML / fluocinolone 0.25 MG/ML Otic Solution",1797513,"ciprofloxacin",126,126,0,0,7,7,7,7,7,7,7,7,7,FALSE
"CPRD GOLD",36808533,"0.25 ML Ciprofloxacin 3 MG/ML / fluocinolone 0.25 MG/ML Otic Solution [CETRAXAL PLUS] by Aspire",1797513,"ciprofloxacin",103,103,0,0,7,7,7,7,7,7,7,7,7,FALSE
"CPRD GOLD",36896428,"100 ML Ciprofloxacin 2 MG/ML Injectable Solution",1797513,"ciprofloxacin",8,8,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",36896594,"200 ML Ciprofloxacin 2 MG/ML Injectable Solution",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",40710699,"200 ML Ciprofloxacin 2 MG/ML Injectable Solution [Ciproxin] by Bayer",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",40712413,"100 ML Ciprofloxacin 2 MG/ML Injectable Solution [Ciproxin] by Bayer",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",40713348,"50 ML Ciprofloxacin 2 MG/ML Injectable Solution [Ciproxin] by Bayer",1797513,"ciprofloxacin",8,8,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",40719628,"0.25 ML Ciprofloxacin 2 MG/ML Otic Solution [Cetraxal] by Aspire",1797513,"ciprofloxacin",324,324,0,0,7,7,7,7,7,7,7,7,14,FALSE
"CPRD GOLD",40719630,"0.25 ML Ciprofloxacin 2 MG/ML Otic Solution",1797513,"ciprofloxacin",2361,2361,0,0,5,7,7,7,7,7,7,7,28,FALSE
"CPRD GOLD",40737691,"Ciprofloxacin 500 MG Oral Tablet by Bristol Labs",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",40737701,"Ciprofloxacin 3 MG/ML Ophthalmic Solution [Ciloxan] by Novartis",1797513,"ciprofloxacin",3438,3438,0,0,5,5,5,7,7,7,28,28,28,FALSE
"CPRD GOLD",40737719,"Ciprofloxacin 250 MG Oral Tablet by Bristol Labs",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",42479124,"Ciprofloxacin 3 MG/ML / Dexamethasone 1 MG/ML Otic Solution",1797513,"ciprofloxacin",6403,6403,0,0,5,7,7,7,7,7,7,7,21,FALSE
"CPRD GOLD",46287382,"100 ML ciprofloxacin 2 MG/ML Injection",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",46287384,"200 ML ciprofloxacin 2 MG/ML Injection",1797513,"ciprofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",1716905,"moxifloxacin 400 MG Oral Tablet",1716903,"moxifloxacin",12128,12128,0,0,1,5,5,5,5,10,10,10,21,FALSE
"CPRD GOLD",19102471,"moxifloxacin 5 MG/ML Ophthalmic Solution",1716903,"moxifloxacin",877,877,0,0,7,7,7,7,7,7,7,7,7,FALSE
"CPRD GOLD",21134231,"moxifloxacin 400 MG Oral Tablet [Avelox] by Bayer",1716903,"moxifloxacin",719,719,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",40734597,"moxifloxacin 5 MG/ML Ophthalmic Solution [Moxivig] by Novartis",1716903,"moxifloxacin",51,51,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",41437171,"250 ML moxifloxacin 1.6 MG/ML Injectable Solution",1716903,"moxifloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",923115,"ofloxacin 3 MG/ML Otic Solution",923081,"ofloxacin",19,19,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",19019415,"ofloxacin 200 MG Oral Tablet",923081,"ofloxacin",56596,56596,0,0,1,5,5,5,14,14,28,30,84,FALSE
"CPRD GOLD",19019417,"ofloxacin 400 MG Oral Tablet",923081,"ofloxacin",86115,86115,0,0,1,5,5,5,10,14,14,28,56,FALSE
"CPRD GOLD",19062067,"ofloxacin 2 MG/ML Injectable Solution",923081,"ofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",19079151,"ofloxacin 3 MG/ML Ophthalmic Solution",923081,"ofloxacin",35602,35602,0,0,5,5,7,7,28,28,28,28,56,FALSE
"CPRD GOLD",21025595,"Ofloxacin 200 MG Oral Tablet by TEVA",923081,"ofloxacin",6,6,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21035353,"Ofloxacin 400 MG Oral Tablet by Sandoz",923081,"ofloxacin",6,6,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21045204,"Ofloxacin 400 MG Oral Tablet by TEVA",923081,"ofloxacin",32,32,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21045208,"Ofloxacin 3 MG/ML Ophthalmic Solution [Exocin] by Mawdsley-Brooks",923081,"ofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21084499,"Ofloxacin 400 MG Oral Tablet by Mylan",923081,"ofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21084501,"Ofloxacin 400 MG Oral Tablet [Tarivid] by Sanofi",923081,"ofloxacin",10546,10546,0,0,3,5,5,5,5,7,10,10,56,FALSE
"CPRD GOLD",21084506,"Ofloxacin 3 MG/ML Ophthalmic Solution [Exocin] by Allergan",923081,"ofloxacin",11920,11920,0,0,1,7,7,14,14,28,28,30,56,FALSE
"CPRD GOLD",21094224,"Ofloxacin 200 MG Oral Tablet [Tarivid] by Sanofi",923081,"ofloxacin",19330,19330,0,0,1,5,5,5,5,7,10,10,90,FALSE
"CPRD GOLD",21113965,"Ofloxacin 400 MG Oral Tablet by A A H",923081,"ofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21113968,"Ofloxacin 20 MG/ML Oral Solution",923081,"ofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",21172871,"Ofloxacin 200 MG Oral Tablet by Sandoz",923081,"ofloxacin",29,29,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",35787402,"100 ML Ofloxacin 2 MG/ML Injectable Solution [Tarivid] by Sanofi",923081,"ofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",36896397,"100 ML Ofloxacin 2 MG/ML Injectable Solution",923081,"ofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",41175163,"Ofloxacin Injectable Solution [Tarivid]",923081,"ofloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CPRD GOLD",1742254,"levofloxacin 250 MG Oral Tablet",1742253,"levofloxacin",13937,13937,0,0,3,5,5,5,5,7,10,10,28,FALSE
"CPRD GOLD",1742255,"levofloxacin 500 MG Oral Tablet",1742253,"levofloxacin",44637,44637,0,0,1,5,5,5,7,10,14,14,84,FALSE
"CPRD GOLD",19080152,"levofloxacin 5 MG/ML Ophthalmic Solution",1742253,"levofloxacin",2693,2693,0,0,5,5,5,5,5,5,5,5,5,FALSE
"CPRD GOLD",21035364,"Levofloxacin 500 MG Oral Tablet [Tavanic] by Sanofi",1742253,"levofloxacin",4730,4730,0,0,5,5,5,5,5,7,10,10,30,FALSE
"CPRD GOLD",21074820,"Levofloxacin 250 MG Oral Tablet [Tavanic] by Sanofi",1742253,"levofloxacin",1719,1719,0,0,3,5,5,5,5,7,10,10,10,FALSE
"CPRD GOLD",21118034,"0.5 ML Levofloxacin 5 MG/ML Ophthalmic Solution",1742253,"levofloxacin",657,657,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",40716826,"3 ML Levofloxacin 100 MG/ML Inhalant Solution [Quinsair] by Chiesi",1742253,"levofloxacin",20,20,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",40716829,"3 ML Levofloxacin 100 MG/ML Inhalant Solution",1742253,"levofloxacin",6,6,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",40719368,"0.5 ML Levofloxacin 5 MG/ML Ophthalmic Solution [Oftaquix] by Santen",1742253,"levofloxacin",48,48,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",40719587,"0.3 ML Levofloxacin 5 MG/ML Ophthalmic Solution [Oftaquix] by Santen",1742253,"levofloxacin",49,49,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",40746481,"Levofloxacin 5 MG/ML Ophthalmic Solution [Oftaquix] by Santen",1742253,"levofloxacin",315,315,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",41405669,"0.3 ML Levofloxacin 5 MG/ML Ophthalmic Solution",1742253,"levofloxacin",348,348,0,0,5,5,5,5,5,5,5,5,5,FALSE
"CPRD GOLD",42482686,"100 ML Levofloxacin 5 MG/ML Injectable Solution",1742253,"levofloxacin",27,27,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",43739745,"100 ML Levofloxacin 5 MG/ML Injectable Solution [Tavanic] by Sanofi",1742253,"levofloxacin",7,7,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",19008233,"norfloxacin 3 MG/ML Ophthalmic Solution [Noroxin]",1721543,"norfloxacin",10,10,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",19019411,"norfloxacin 400 MG Oral Tablet",1721543,"norfloxacin",94883,94883,0,0,3,3,3,3,3,7,14,28,90,FALSE
"CPRD GOLD",19079112,"norfloxacin 3 MG/ML Ophthalmic Solution",1721543,"norfloxacin",11,11,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21044378,"Norfloxacin 400 MG Oral Tablet [Utinor] by Merck",1721543,"norfloxacin",25366,25366,0,0,1,3,3,3,3,7,7,9.25,84,FALSE
"CPRD GOLD",21064031,"Norfloxacin 400 MG Oral Tablet by Genus",1721543,"norfloxacin",76,76,0,0,1,1,1,1,1,1,1,1,1,FALSE
"CPRD GOLD",21083629,"Norfloxacin 400 MG Oral Tablet by A A H",1721543,"norfloxacin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
