"database_id","drug_concept_id","drug","ingredient_concept_id","ingredient","drug_source_concept_id","drug_source","n_records","result_obscured"
"CPRD GOLD",21160390,"Ciprofloxacin 500 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",45736593,"Ciprofloxacin 500mg tablets (Sandoz Ltd)",6,FALSE
"CPRD GOLD",21081705,"Ciprofloxacin 2 MG/ML Ophthalmic Solution",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21032606,"Ciprofloxacin 500 MG Oral Tablet by A A H",1797513,"ciprofloxacin",45734753,"Ciprofloxacin 500mg tablets (A A H Pharmaceuticals Ltd)",48,FALSE
"CPRD GOLD",21160393,"Ciprofloxacin 500 MG Oral Tablet by Dr Reddy's",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",36896594,"200 ML Ciprofloxacin 2 MG/ML Injectable Solution",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",19021637,"ciprofloxacin 100 MG Oral Tablet",1797513,"ciprofloxacin",45744142,"Ciprofloxacin 100mg tablets",13434,FALSE
"CPRD GOLD",21062109,"Ciprofloxacin 250 MG Oral Tablet by Medreich",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",19075379,"ciprofloxacin 50 MG/ML Oral Suspension",1797513,"ciprofloxacin",45742375,"Ciprofloxacin 250mg/5ml oral suspension",16125,FALSE
"CPRD GOLD",19075377,"ciprofloxacin 0.003 MG/MG Ophthalmic Ointment",1797513,"ciprofloxacin",45742815,"Ciprofloxacin 3mg/g eye ointment",1434,FALSE
"CPRD GOLD",42479124,"Ciprofloxacin 3 MG/ML / Dexamethasone 1 MG/ML Otic Solution",1797513,"ciprofloxacin",37800933,"Ciprofloxacin 0.3% / Dexamethasone 0.1% ear drops",6403,FALSE
"CPRD GOLD",36808533,"0.25 ML Ciprofloxacin 3 MG/ML / fluocinolone 0.25 MG/ML Otic Solution [CETRAXAL PLUS] by Aspire",1797513,"ciprofloxacin",36668512,"Cetraxal Plus 3mg/ml + 0.25mg/ml ear drops 0.25ml unit dose (Aspire Pharma Ltd)",103,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",40710699,"200 ML Ciprofloxacin 2 MG/ML Injectable Solution [Ciproxin] by Bayer",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21042509,"Ciprofloxacin 250 MG Oral Tablet by Actavis",1797513,"ciprofloxacin",45741978,"Ciprofloxacin 250mg tablets (Actavis UK Ltd)",11,FALSE
"CPRD GOLD",1797516,"ciprofloxacin 750 MG Oral Tablet",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21081712,"Ciprofloxacin 500 MG Oral Tablet by Ivax",1797513,"ciprofloxacin",45734767,"Ciprofloxacin 500mg tablets (IVAX Pharmaceuticals UK Ltd)",10,FALSE
"CPRD GOLD",36808530,"0.25 ML Ciprofloxacin 3 MG/ML / fluocinolone 0.25 MG/ML Otic Solution",1797513,"ciprofloxacin",36668308,"Ciprofloxacin 3mg/ml / Fluocinolone acetonide 0.25mg/ml ear drops 0.25ml unit dose preservative free",126,FALSE
"CPRD GOLD",46287382,"100 ML ciprofloxacin 2 MG/ML Injection",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",40713348,"50 ML Ciprofloxacin 2 MG/ML Injectable Solution [Ciproxin] by Bayer",1797513,"ciprofloxacin",45735584,"Ciproxin Infusion 100mg/50ml solution for infusion bottles (Bayer Plc)",8,FALSE
"CPRD GOLD",21081710,"Ciprofloxacin 20 MG/ML Oral Suspension",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",36896428,"100 ML Ciprofloxacin 2 MG/ML Injectable Solution",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1797515,"ciprofloxacin 250 MG Oral Tablet",1797513,"ciprofloxacin",45738639,"Ciprofloxacin 250mg tablets",340440,FALSE
"CPRD GOLD",21117817,"50 ML Ciprofloxacin 2 MG/ML Injection",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21111205,"Ciprofloxacin 750 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin",45744141,"Ciproxin 750mg tablets (Bayer Plc)",693,FALSE
"CPRD GOLD",21130650,"Ciprofloxacin 500 MG Oral Tablet by Mylan",1797513,"ciprofloxacin",45738428,"Ciprofloxacin 500mg tablets (Mylan)",36,FALSE
"CPRD GOLD",21072023,"Ciprofloxacin 250 MG Oral Tablet by Dr Reddy's",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",19075380,"ciprofloxacin 500 MG Oral Tablet",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21022833,"Ciprofloxacin 250 MG Oral Tablet by A A H",1797513,"ciprofloxacin",45731111,"Ciprofloxacin 250mg tablets (A A H Pharmaceuticals Ltd)",11,FALSE
"CPRD GOLD",1797516,"ciprofloxacin 750 MG Oral Tablet",1797513,"ciprofloxacin",45737034,"Ciprofloxacin 750mg tablets",13817,FALSE
"CPRD GOLD",1797515,"ciprofloxacin 250 MG Oral Tablet",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",40737701,"Ciprofloxacin 3 MG/ML Ophthalmic Solution [Ciloxan] by Novartis",1797513,"ciprofloxacin",45738887,"Ciloxan 0.3% eye drops (Novartis Pharmaceuticals UK Ltd)",3438,FALSE
"CPRD GOLD",1797580,"ciprofloxacin 500 MG Extended Release Oral Tablet",1797513,"ciprofloxacin",45738431,"Ciprofloxacin 500mg Tablet (Niche Generics Ltd)",6,FALSE
"CPRD GOLD",40719628,"0.25 ML Ciprofloxacin 2 MG/ML Otic Solution [Cetraxal] by Aspire",1797513,"ciprofloxacin",42520836,"Cetraxal 2mg/ml ear drops 0.25ml unit dose (Aspire Pharma Ltd)",324,FALSE
"CPRD GOLD",19075380,"ciprofloxacin 500 MG Oral Tablet",1797513,"ciprofloxacin",45734959,"Ciprofloxacin 500mg tablets",478683,FALSE
"CPRD GOLD",21160394,"Ciprofloxacin 500 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21111201,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by DE",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",40737719,"Ciprofloxacin 250 MG Oral Tablet by Bristol Labs",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",40737691,"Ciprofloxacin 500 MG Oral Tablet by Bristol Labs",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21117817,"50 ML Ciprofloxacin 2 MG/ML Injection",1797513,"ciprofloxacin",45740887,"Ciprofloxacin 100mg/50ml solution for infusion bottles",6,FALSE
"CPRD GOLD",36896428,"100 ML Ciprofloxacin 2 MG/ML Injectable Solution",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21101375,"Ciprofloxacin 500 MG Oral Tablet by Accord",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",36063774,"ciprofloxacin 3 MG/ML / dexamethasone 1 MG/ML Otic Solution [Cilodex] by Consilient",1797513,"ciprofloxacin",37800935,"Cilodex ear drops (Novartis Pharmaceuticals UK Ltd)",1893,FALSE
"CPRD GOLD",21130656,"Ciprofloxacin 500 MG Oral Tablet by Almus",1797513,"ciprofloxacin",37818312,"Ciprofloxacin 500mg tablets (Almus Pharmaceuticals Ltd)",12,FALSE
"CPRD GOLD",21120864,"Ciprofloxacin 250 MG Oral Tablet by APC",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",40719630,"0.25 ML Ciprofloxacin 2 MG/ML Otic Solution",1797513,"ciprofloxacin",42520570,"Ciprofloxacin 2mg/ml ear drops 0.25ml unit dose preservative free",2361,FALSE
"CPRD GOLD",19075378,"ciprofloxacin 3 MG/ML Ophthalmic Solution",1797513,"ciprofloxacin",45738888,"Ciprofloxacin 0.3% eye drops",31163,FALSE
"CPRD GOLD",21140601,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin",45731297,"Ciproxin 250mg tablets (Bayer Plc)",57672,FALSE
"CPRD GOLD",41437171,"250 ML moxifloxacin 1.6 MG/ML Injectable Solution",1716903,"moxifloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1716905,"moxifloxacin 400 MG Oral Tablet",1716903,"moxifloxacin",45731815,"Moxifloxacin 400mg tablets",12128,FALSE
"CPRD GOLD",21134231,"moxifloxacin 400 MG Oral Tablet [Avelox] by Bayer",1716903,"moxifloxacin",45733619,"Avelox 400mg tablets (Bayer Plc)",719,FALSE
"CPRD GOLD",40734597,"moxifloxacin 5 MG/ML Ophthalmic Solution [Moxivig] by Novartis",1716903,"moxifloxacin",37834854,"Moxivig 0.5% eye drops (Novartis Pharmaceuticals UK Ltd)",51,FALSE
"CPRD GOLD",19102471,"moxifloxacin 5 MG/ML Ophthalmic Solution",1716903,"moxifloxacin",45734038,"Moxifloxacin 0.5% eye drops",877,FALSE
"CPRD GOLD",35787402,"100 ML Ofloxacin 2 MG/ML Injectable Solution [Tarivid] by Sanofi",923081,"ofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21045204,"Ofloxacin 400 MG Oral Tablet by TEVA",923081,"ofloxacin",45743710,"Ofloxacin 400mg tablets (Teva UK Ltd)",32,FALSE
"CPRD GOLD",21113965,"Ofloxacin 400 MG Oral Tablet by A A H",923081,"ofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21084506,"Ofloxacin 3 MG/ML Ophthalmic Solution [Exocin] by Allergan",923081,"ofloxacin",45741415,"Exocin 0.3% eye drops (Allergan Ltd)",11920,FALSE
"CPRD GOLD",21084499,"Ofloxacin 400 MG Oral Tablet by Mylan",923081,"ofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",36896397,"100 ML Ofloxacin 2 MG/ML Injectable Solution",923081,"ofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21084501,"Ofloxacin 400 MG Oral Tablet [Tarivid] by Sanofi",923081,"ofloxacin",45736967,"Tarivid 400mg tablets (Sanofi)",10546,FALSE
"CPRD GOLD",41175163,"Ofloxacin Injectable Solution [Tarivid]",923081,"ofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21113968,"Ofloxacin 20 MG/ML Oral Solution",923081,"ofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21035353,"Ofloxacin 400 MG Oral Tablet by Sandoz",923081,"ofloxacin",45741956,"Ofloxacin 400mg tablets (Sandoz Ltd)",6,FALSE
"CPRD GOLD",923115,"ofloxacin 3 MG/ML Otic Solution",923081,"ofloxacin",35318743,"Ofloxacin 0.3% ear drops",19,FALSE
"CPRD GOLD",19062067,"ofloxacin 2 MG/ML Injectable Solution",923081,"ofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",19019417,"ofloxacin 400 MG Oral Tablet",923081,"ofloxacin",45736968,"Ofloxacin 400mg tablets",86115,FALSE
"CPRD GOLD",21045208,"Ofloxacin 3 MG/ML Ophthalmic Solution [Exocin] by Mawdsley-Brooks",923081,"ofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",19019415,"ofloxacin 200 MG Oral Tablet",923081,"ofloxacin",45742320,"Ofloxacin 200mg tablets",56596,FALSE
"CPRD GOLD",21172871,"Ofloxacin 200 MG Oral Tablet by Sandoz",923081,"ofloxacin",45736573,"Ofloxacin 200mg tablets (Sandoz Ltd)",29,FALSE
"CPRD GOLD",21025595,"Ofloxacin 200 MG Oral Tablet by TEVA",923081,"ofloxacin",45732910,"Ofloxacin 200mg tablets (Teva UK Ltd)",6,FALSE
"CPRD GOLD",21094224,"Ofloxacin 200 MG Oral Tablet [Tarivid] by Sanofi",923081,"ofloxacin",45740564,"Tarivid 200mg tablets (Sanofi)",19330,FALSE
"CPRD GOLD",19079151,"ofloxacin 3 MG/ML Ophthalmic Solution",923081,"ofloxacin",45739531,"Ofloxacin 0.3% eye drops",35602,FALSE
"CPRD GOLD",1742254,"levofloxacin 250 MG Oral Tablet",1742253,"levofloxacin",37826194,"Levofloxacin 250mg tablets",13937,FALSE
"CPRD GOLD",42482686,"100 ML Levofloxacin 5 MG/ML Injectable Solution",1742253,"levofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",40716829,"3 ML Levofloxacin 100 MG/ML Inhalant Solution",1742253,"levofloxacin",36668336,"Levofloxacin 100mg/ml nebuliser liquid ampoules",6,FALSE
"CPRD GOLD",43739745,"100 ML Levofloxacin 5 MG/ML Injectable Solution [Tavanic] by Sanofi",1742253,"levofloxacin",45733708,"Tavanic 500mg/100ml solution for infusion vials (Sanofi)",7,FALSE
"CPRD GOLD",1742255,"levofloxacin 500 MG Oral Tablet",1742253,"levofloxacin",37826195,"Levofloxacin 500mg tablets",44637,FALSE
"CPRD GOLD",21035364,"Levofloxacin 500 MG Oral Tablet [Tavanic] by Sanofi",1742253,"levofloxacin",37826204,"Tavanic 500mg tablets (Sanofi)",4730,FALSE
"CPRD GOLD",21074820,"Levofloxacin 250 MG Oral Tablet [Tavanic] by Sanofi",1742253,"levofloxacin",37826203,"Tavanic 250mg tablets (Sanofi)",1719,FALSE
"CPRD GOLD",40716826,"3 ML Levofloxacin 100 MG/ML Inhalant Solution [Quinsair] by Chiesi",1742253,"levofloxacin",36668834,"Quinsair 240mg nebuliser solution ampoules (Chiesi Ltd)",20,FALSE
"CPRD GOLD",42482686,"100 ML Levofloxacin 5 MG/ML Injectable Solution",1742253,"levofloxacin",45733707,"Levofloxacin 500mg/100ml Intravenous infusion",17,FALSE
"CPRD GOLD",42482686,"100 ML Levofloxacin 5 MG/ML Injectable Solution",1742253,"levofloxacin",37699041,"Levofloxacin 500mg/100ml solution for infusion vials",8,FALSE
"CPRD GOLD",21118034,"0.5 ML Levofloxacin 5 MG/ML Ophthalmic Solution",1742253,"levofloxacin",45744717,"Levofloxacin 5mg/ml eye drops 0.5ml unit dose preservative free",657,FALSE
"CPRD GOLD",19080152,"levofloxacin 5 MG/ML Ophthalmic Solution",1742253,"levofloxacin",45732019,"Levofloxacin 5mg/ml eye drops",2693,FALSE
"CPRD GOLD",40746481,"Levofloxacin 5 MG/ML Ophthalmic Solution [Oftaquix] by Santen",1742253,"levofloxacin",45733846,"Oftaquix 5mg/ml eye drops (Santen UK Ltd)",315,FALSE
"CPRD GOLD",40719587,"0.3 ML Levofloxacin 5 MG/ML Ophthalmic Solution [Oftaquix] by Santen",1742253,"levofloxacin",35317896,"Oftaquix 5mg/ml eye drops 0.3ml unit dose (Santen UK Ltd)",49,FALSE
"CPRD GOLD",41405669,"0.3 ML Levofloxacin 5 MG/ML Ophthalmic Solution",1742253,"levofloxacin",35323076,"Levofloxacin 5mg/ml eye drops 0.3ml unit dose preservative free",348,FALSE
"CPRD GOLD",40719368,"0.5 ML Levofloxacin 5 MG/ML Ophthalmic Solution [Oftaquix] by Santen",1742253,"levofloxacin",45741159,"Oftaquix 5mg/ml eye drops 0.5ml unit dose (Santen UK Ltd)",48,FALSE
"CPRD GOLD",21083629,"Norfloxacin 400 MG Oral Tablet by A A H",1721543,"norfloxacin",NA,NA,NA,TRUE
"CPRD GOLD",19019411,"norfloxacin 400 MG Oral Tablet",1721543,"norfloxacin",45744111,"Norfloxacin 400mg tablets",94883,FALSE
"CPRD GOLD",19008233,"norfloxacin 3 MG/ML Ophthalmic Solution [Noroxin]",1721543,"norfloxacin",45733024,"Noroxin 0.30% Eye drops (MSD Thomas Morson Pharmaceuticals)",10,FALSE
"CPRD GOLD",21044378,"Norfloxacin 400 MG Oral Tablet [Utinor] by Merck",1721543,"norfloxacin",45733316,"Utinor 400mg tablets (Merck Sharp & Dohme Ltd)",25366,FALSE
"CPRD GOLD",19079112,"norfloxacin 3 MG/ML Ophthalmic Solution",1721543,"norfloxacin",45734860,"Norfloxacin 0.3% Eye drops",11,FALSE
"CPRD GOLD",21064031,"Norfloxacin 400 MG Oral Tablet by Genus",1721543,"norfloxacin",45732794,"Norfloxacin 400mg tablets (Genus Pharmaceuticals Ltd)",76,FALSE
