"database_id","drug_concept_id","drug","ingredient_concept_id","ingredient","n_records","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","amount_value","amount_unit_concept_id","numerator_value","numerator_unit_concept_id","numerator_unit","denominator_value","denominator_unit_concept_id","denominator_unit","box_size","amount_unit","dose_form","result_obscured"
"CPRD GOLD",21022833,"Ciprofloxacin 250 MG Oral Tablet by A A H",1797513,"ciprofloxacin",21,"Drug","RxNorm Extension","Marketed Product","S","OMOP359705",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21032601,"Ciprofloxacin 3 MG/ML Ophthalmic Solution [Ciloxan] by DE",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP359817",2017-08-24,2099-12-31,NA,NA,NA,3,8576,"milligram",NA,8587,"milliliter",NA,NA,"Ophthalmic Solution",TRUE
"CPRD GOLD",21032606,"Ciprofloxacin 500 MG Oral Tablet by A A H",1797513,"ciprofloxacin",118,"Drug","RxNorm Extension","Marketed Product","S","OMOP359946",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21042509,"Ciprofloxacin 250 MG Oral Tablet by Actavis",1797513,"ciprofloxacin",22,"Drug","RxNorm Extension","Marketed Product","S","OMOP359709",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21042519,"Ciprofloxacin 500 MG Oral Tablet by Actavis",1797513,"ciprofloxacin",19,"Drug","RxNorm Extension","Marketed Product","S","OMOP359949",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21042522,"Ciprofloxacin 500 MG Oral Tablet [Ciproxin] by Mawdsley-Brooks",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP360012",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21052276,"Ciprofloxacin 250 MG Oral Tablet by Pliva",1797513,"ciprofloxacin",5,"Drug","RxNorm Extension","Marketed Product","S","OMOP359703",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21052288,"Ciprofloxacin 500 MG Oral Tablet by Medreich",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP359929",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21052290,"Ciprofloxacin 500 MG Oral Tablet [Ciproxin] by Waymade",1797513,"ciprofloxacin",195,"Drug","RxNorm Extension","Marketed Product","S","OMOP360015",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21062109,"Ciprofloxacin 250 MG Oral Tablet by Medreich",1797513,"ciprofloxacin",11,"Drug","RxNorm Extension","Marketed Product","S","OMOP359691",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21062121,"Ciprofloxacin 500 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin",73269,"Drug","RxNorm Extension","Marketed Product","S","OMOP360013",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21072022,"Ciprofloxacin 250 MG Oral Tablet by Ranbaxy",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP359704",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21072023,"Ciprofloxacin 250 MG Oral Tablet by Dr Reddy's",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP359706",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21081705,"Ciprofloxacin 2 MG/ML Ophthalmic Solution",1797513,"ciprofloxacin",13,"Drug","RxNorm Extension","Clinical Drug","S","OMOP359794",2017-08-24,2099-12-31,NA,NA,NA,2,8576,"milligram",NA,8587,"milliliter",NA,NA,"Ophthalmic Solution",FALSE
"CPRD GOLD",21081710,"Ciprofloxacin 20 MG/ML Oral Suspension",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Clinical Drug","S","OMOP359903",2017-08-24,2099-12-31,NA,NA,NA,20,8576,"milligram",NA,8587,"milliliter",NA,NA,"Oral Suspension",TRUE
"CPRD GOLD",21081712,"Ciprofloxacin 500 MG Oral Tablet by Ivax",1797513,"ciprofloxacin",16,"Drug","RxNorm Extension","Marketed Product","S","OMOP359950",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21091460,"Ciprofloxacin 250 MG Oral Tablet by Wockhardt",1797513,"ciprofloxacin",9,"Drug","RxNorm Extension","Marketed Product","S","OMOP359713",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21091468,"Ciprofloxacin 750 MG Oral Tablet by Actavis",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP359857",2017-08-24,2099-12-31,NA,750,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21091473,"Ciprofloxacin 0.003 MG/MG Ophthalmic Ointment [Ciloxan] by Alcon",1797513,"ciprofloxacin",589,"Drug","RxNorm Extension","Marketed Product","S","OMOP359921",2017-08-24,2099-12-31,NA,NA,NA,0.003,8576,"milligram",NA,8576,"milligram",NA,NA,"Ophthalmic Ointment",FALSE
"CPRD GOLD",21091480,"Ciprofloxacin 500 MG Oral Tablet [Ciproxin] by DE",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP360016",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21101355,"Ciprofloxacin 250 MG Oral Tablet by Mylan",1797513,"ciprofloxacin",82,"Drug","RxNorm Extension","Marketed Product","S","OMOP359685",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21101375,"Ciprofloxacin 500 MG Oral Tablet by Accord",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP359927",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21101377,"Ciprofloxacin 500 MG Oral Tablet by Pliva",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP359942",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21111201,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by DE",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP359776",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21111205,"Ciprofloxacin 750 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin",1731,"Drug","RxNorm Extension","Marketed Product","S","OMOP359897",2017-08-24,2099-12-31,NA,750,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin",3907,"Drug","RxNorm Extension","Marketed Product","S","OMOP360047",2017-08-24,2099-12-31,NA,NA,NA,50,8576,"milligram",NA,8587,"milliliter",NA,NA,"Oral Suspension",FALSE
"CPRD GOLD",21117817,"50 ML Ciprofloxacin 2 MG/ML Injection",1797513,"ciprofloxacin",24,"Drug","RxNorm Extension","Quant Clinical Drug","S","OMOP318097",2017-08-24,2099-12-31,NA,NA,NA,100,8576,"milligram",50,8587,"milliliter",NA,NA,"Injection",FALSE
"CPRD GOLD",21120863,"Ciprofloxacin 100 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin",3146,"Drug","RxNorm Extension","Marketed Product","S","OMOP359680",2017-08-24,2099-12-31,NA,100,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21120864,"Ciprofloxacin 250 MG Oral Tablet by APC",1797513,"ciprofloxacin",6,"Drug","RxNorm Extension","Marketed Product","S","OMOP359689",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",179,"Drug","RxNorm Extension","Marketed Product","S","OMOP359707",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21120876,"Ciprofloxacin 3 MG/ML Otic Solution",1797513,"ciprofloxacin",238,"Drug","RxNorm Extension","Clinical Drug","S","OMOP359820",2017-08-24,2099-12-31,NA,NA,NA,3,8576,"milligram",NA,8587,"milliliter",NA,NA,"Otic Solution",FALSE
"CPRD GOLD",21130644,"Ciprofloxacin 750 MG Oral Tablet by Medreich",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP359838",2017-08-24,2099-12-31,NA,750,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21130650,"Ciprofloxacin 500 MG Oral Tablet by Mylan",1797513,"ciprofloxacin",80,"Drug","RxNorm Extension","Marketed Product","S","OMOP359924",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21130655,"Ciprofloxacin 500 MG Oral Tablet by Wockhardt",1797513,"ciprofloxacin",19,"Drug","RxNorm Extension","Marketed Product","S","OMOP359952",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21130656,"Ciprofloxacin 500 MG Oral Tablet by Almus",1797513,"ciprofloxacin",26,"Drug","RxNorm Extension","Marketed Product","S","OMOP359953",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21140594,"Ciprofloxacin 100 MG Oral Tablet by A A H",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP359655",2017-08-24,2099-12-31,NA,100,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",8,"Drug","RxNorm Extension","Marketed Product","S","OMOP359694",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21140601,"Ciprofloxacin 250 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin",147509,"Drug","RxNorm Extension","Marketed Product","S","OMOP359774",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21140611,"Ciprofloxacin 500 MG Oral Tablet by Kent",1797513,"ciprofloxacin",12,"Drug","RxNorm Extension","Marketed Product","S","OMOP359933",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21150440,"Ciprofloxacin 100 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP359649",2017-08-24,2099-12-31,NA,100,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21150442,"Ciprofloxacin 250 MG Oral Tablet by Ivax",1797513,"ciprofloxacin",104,"Drug","RxNorm Extension","Marketed Product","S","OMOP359710",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21150449,"Ciprofloxacin 750 MG Oral Tablet by A A H",1797513,"ciprofloxacin",8,"Drug","RxNorm Extension","Marketed Product","S","OMOP359854",2017-08-24,2099-12-31,NA,750,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21150454,"Ciprofloxacin 34 MG/ML Oral Suspension",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Clinical Drug","S","OMOP359910",2017-08-24,2099-12-31,NA,NA,NA,34,8576,"milligram",NA,8587,"milliliter",NA,NA,"Oral Suspension",TRUE
"CPRD GOLD",21150459,"Ciprofloxacin 30 MG/ML Oral Suspension",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Clinical Drug","S","OMOP360045",2017-08-24,2099-12-31,NA,NA,NA,30,8576,"milligram",NA,8587,"milliliter",NA,NA,"Oral Suspension",TRUE
"CPRD GOLD",21160390,"Ciprofloxacin 500 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",18,"Drug","RxNorm Extension","Marketed Product","S","OMOP359934",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21160393,"Ciprofloxacin 500 MG Oral Tablet by Dr Reddy's",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP359947",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",21160394,"Ciprofloxacin 500 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",7,"Drug","RxNorm Extension","Marketed Product","S","OMOP359948",2017-08-24,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",35752749,"Ciprofloxacin 250 MG Oral Tablet by Niche Generics",1797513,"ciprofloxacin",19,"Drug","RxNorm Extension","Marketed Product","S","OMOP2754210",2017-08-24,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",36063774,"ciprofloxacin 3 MG/ML / dexamethasone 1 MG/ML Otic Solution [Cilodex] by Consilient",1797513,"ciprofloxacin",4865,"Drug","RxNorm Extension","Marketed Product","S","OMOP4989911",2020-08-17,2099-12-31,NA,NA,NA,3,8576,"milligram",NA,8587,"milliliter",NA,NA,"Otic Solution",FALSE
"CPRD GOLD",36808530,"0.25 ML Ciprofloxacin 3 MG/ML / fluocinolone 0.25 MG/ML Otic Solution",1797513,"ciprofloxacin",345,"Drug","RxNorm Extension","Quant Clinical Drug","S","OMOP4822574",2019-01-28,2099-12-31,NA,NA,NA,0.75,8576,"milligram",0.25,8587,"milliliter",NA,NA,"Otic Solution",FALSE
"CPRD GOLD",36808533,"0.25 ML Ciprofloxacin 3 MG/ML / fluocinolone 0.25 MG/ML Otic Solution [CETRAXAL PLUS] by Aspire",1797513,"ciprofloxacin",253,"Drug","RxNorm Extension","Marketed Product","S","OMOP4822577",2019-01-28,2099-12-31,NA,NA,NA,0.75,8576,"milligram",0.25,8587,"milliliter",NA,NA,"Otic Solution",FALSE
"CPRD GOLD",36896428,"100 ML Ciprofloxacin 2 MG/ML Injectable Solution",1797513,"ciprofloxacin",19,"Drug","RxNorm Extension","Quant Clinical Drug","S","OMOP1007073",2017-08-24,2099-12-31,NA,NA,NA,200,8576,"milligram",100,8587,"milliliter",NA,NA,"Injectable Solution",FALSE
"CPRD GOLD",36896594,"200 ML Ciprofloxacin 2 MG/ML Injectable Solution",1797513,"ciprofloxacin",9,"Drug","RxNorm Extension","Quant Clinical Drug","S","OMOP1004087",2017-08-24,2099-12-31,NA,NA,NA,400,8576,"milligram",200,8587,"milliliter",NA,NA,"Injectable Solution",FALSE
"CPRD GOLD",40710699,"200 ML Ciprofloxacin 2 MG/ML Injectable Solution [Ciproxin] by Bayer",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP4746447",2018-06-04,2099-12-31,NA,NA,NA,400,8576,"milligram",200,8587,"milliliter",NA,NA,"Injectable Solution",TRUE
"CPRD GOLD",40712413,"100 ML Ciprofloxacin 2 MG/ML Injectable Solution [Ciproxin] by Bayer",1797513,"ciprofloxacin",6,"Drug","RxNorm Extension","Marketed Product","S","OMOP4744824",2018-06-04,2099-12-31,NA,NA,NA,200,8576,"milligram",100,8587,"milliliter",NA,NA,"Injectable Solution",FALSE
"CPRD GOLD",40713348,"50 ML Ciprofloxacin 2 MG/ML Injectable Solution [Ciproxin] by Bayer",1797513,"ciprofloxacin",17,"Drug","RxNorm Extension","Marketed Product","S","OMOP4743662",2018-06-04,2099-12-31,NA,NA,NA,100,8576,"milligram",50,8587,"milliliter",NA,NA,"Injectable Solution",FALSE
"CPRD GOLD",40719628,"0.25 ML Ciprofloxacin 2 MG/ML Otic Solution [Cetraxal] by Aspire",1797513,"ciprofloxacin",820,"Drug","RxNorm Extension","Marketed Product","S","OMOP4737536",2018-06-04,2099-12-31,NA,NA,NA,0.5,8576,"milligram",0.25,8587,"milliliter",NA,NA,"Otic Solution",FALSE
"CPRD GOLD",40719630,"0.25 ML Ciprofloxacin 2 MG/ML Otic Solution",1797513,"ciprofloxacin",6169,"Drug","RxNorm Extension","Quant Clinical Drug","S","OMOP4737533",2018-06-04,2099-12-31,NA,NA,NA,0.5,8576,"milligram",0.25,8587,"milliliter",NA,NA,"Otic Solution",FALSE
"CPRD GOLD",40737683,"Ciprofloxacin 500 MG Oral Tablet [Ciproxin] by Sigma",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP4719521",2018-06-04,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",40737691,"Ciprofloxacin 500 MG Oral Tablet by Bristol Labs",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP4719513",2018-06-04,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",40737701,"Ciprofloxacin 3 MG/ML Ophthalmic Solution [Ciloxan] by Novartis",1797513,"ciprofloxacin",8570,"Drug","RxNorm Extension","Marketed Product","S","OMOP4719503",2018-06-04,2099-12-31,NA,NA,NA,3,8576,"milligram",NA,8587,"milliliter",NA,NA,"Ophthalmic Solution",FALSE
"CPRD GOLD",40737719,"Ciprofloxacin 250 MG Oral Tablet by Bristol Labs",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP4719486",2018-06-04,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",40737729,"Ciprofloxacin 750 MG Oral Tablet by Phoenix Healthcare Distribution",1797513,"ciprofloxacin",NA,"Drug","RxNorm Extension","Marketed Product","S","OMOP4719476",2018-06-04,2099-12-31,NA,750,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",TRUE
"CPRD GOLD",42479124,"Ciprofloxacin 3 MG/ML / Dexamethasone 1 MG/ML Otic Solution",1797513,"ciprofloxacin",16310,"Drug","RxNorm Extension","Clinical Drug","S","OMOP419327",2017-08-24,2099-12-31,NA,NA,NA,3,8576,"milligram",NA,8587,"milliliter",NA,NA,"Otic Solution",FALSE
"CPRD GOLD",46287382,"100 ML ciprofloxacin 2 MG/ML Injection",1797513,"ciprofloxacin",NA,"Drug","RxNorm","Quant Clinical Drug","S","1665210",2015-10-05,2099-12-31,NA,NA,NA,200,8576,"milligram",100,8587,"milliliter",NA,NA,"Injection",TRUE
"CPRD GOLD",46287384,"200 ML ciprofloxacin 2 MG/ML Injection",1797513,"ciprofloxacin",NA,"Drug","RxNorm","Quant Clinical Drug","S","1665212",2015-10-05,2099-12-31,NA,NA,NA,400,8576,"milligram",200,8587,"milliliter",NA,NA,"Injection",TRUE
"CPRD GOLD",1716905,"moxifloxacin 400 MG Oral Tablet",1716903,"moxifloxacin",12128,"Drug","RxNorm","Clinical Drug","S","311787",1970-01-01,2099-12-31,NA,400,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",19102471,"moxifloxacin 5 MG/ML Ophthalmic Solution",1716903,"moxifloxacin",877,"Drug","RxNorm","Clinical Drug","S","403818",1970-01-01,2099-12-31,NA,NA,NA,5,8576,"milligram",NA,8587,"milliliter",NA,NA,"Ophthalmic Solution",FALSE
"CPRD GOLD",21134231,"moxifloxacin 400 MG Oral Tablet [Avelox] by Bayer",1716903,"moxifloxacin",719,"Drug","RxNorm Extension","Marketed Product","S","OMOP258325",2017-08-24,2099-12-31,NA,400,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",40734597,"moxifloxacin 5 MG/ML Ophthalmic Solution [Moxivig] by Novartis",1716903,"moxifloxacin",51,"Drug","RxNorm Extension","Marketed Product","S","OMOP4722369",2018-06-04,2099-12-31,NA,NA,NA,5,8576,"milligram",NA,8587,"milliliter",NA,NA,"Ophthalmic Solution",FALSE
"CPRD GOLD",41437171,"250 ML moxifloxacin 1.6 MG/ML Injectable Solution",1716903,"moxifloxacin",NA,"Drug","RxNorm Extension","Quant Clinical Drug","S","OMOP2635133",2017-08-24,2099-12-31,NA,NA,NA,400,8576,"milligram",250,8587,"milliliter",NA,NA,"Injectable Solution",TRUE
"CPRD GOLD",923115,"ofloxacin 3 MG/ML Otic Solution",923081,"ofloxacin",19,"Drug","RxNorm","Clinical Drug","S","242446",1970-01-01,2099-12-31,NA,NA,NA,3,8576,"milligram",NA,8587,"milliliter",NA,NA,"Otic Solution",FALSE
"CPRD GOLD",19019415,"ofloxacin 200 MG Oral Tablet",923081,"ofloxacin",56596,"Drug","RxNorm","Clinical Drug","S","198048",1970-01-01,2099-12-31,NA,200,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",19019417,"ofloxacin 400 MG Oral Tablet",923081,"ofloxacin",86115,"Drug","RxNorm","Clinical Drug","S","198050",1970-01-01,2099-12-31,NA,400,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",19062067,"ofloxacin 2 MG/ML Injectable Solution",923081,"ofloxacin",NA,"Drug","RxNorm","Clinical Drug","S","250095",1970-01-01,2099-12-31,NA,NA,NA,2,8576,"milligram",NA,8587,"milliliter",NA,NA,"Injectable Solution",TRUE
"CPRD GOLD",19079151,"ofloxacin 3 MG/ML Ophthalmic Solution",923081,"ofloxacin",35602,"Drug","RxNorm","Clinical Drug","S","312075",1970-01-01,2099-12-31,NA,NA,NA,3,8576,"milligram",NA,8587,"milliliter",NA,NA,"Ophthalmic Solution",FALSE
"CPRD GOLD",21025595,"Ofloxacin 200 MG Oral Tablet by TEVA",923081,"ofloxacin",6,"Drug","RxNorm Extension","Marketed Product","S","OMOP408843",2017-08-24,2099-12-31,NA,200,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21035353,"Ofloxacin 400 MG Oral Tablet by Sandoz",923081,"ofloxacin",6,"Drug","RxNorm Extension","Marketed Product","S","OMOP408884",2017-08-24,2099-12-31,NA,400,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",21045204,"Ofloxacin 400 MG Oral Tablet by TEVA",923081,"ofloxacin",32,"Drug","RxNorm Extension","Marketed Product","S","OMOP408890",2017-08-24,2099-12-31,NA,400,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
